상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202406A0292778,치킨플러스동,판교점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,41,경기도,41135,성남시 분당구,41135655,삼평동,4113510900,삼평동,4113510900107280000,1,대지,728.0,,경기도 성남시 분당구 삼평동 728,411353178016,경기도 성남시 분당구 동판교로,212.0,,4113510900107280000000001,봇들마을주공6단지,경기도 성남시 분당구 동판교로 212,463896.0,13491,,1,,127.117538597787,37.4018020628116
MA010120220806339339,미미엘라,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,31,울산광역시,31140,남구,31140570,삼산동,3114010500,달동,3114010500113540005,1,대지,1354.0,5.0,울산광역시 남구 달동 1354-5,311404310685,울산광역시 남구 왕생로72번길,12.0,,3114010500113540005000001,,울산광역시 남구 왕생로72번길 12,680805.0,44703,,1,,129.332093948754,35.5398531770891
MA010120220800052962,한민,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47219,기타 식료품 소매업,47,경상북도,47130,경주시,47130380,천북면,4713038027,천북면,4713038027104700001,1,대지,470.0,1.0,경상북도 경주시 천북면 오야리 470-1,471304715867,경상북도 경주시 천북면 오야안길,5.0,26.0,4713038027104700001110693,,경상북도 경주시 천북면 오야안길 5-26,780872.0,38039,,,,129.253758602815,35.9343272536506
MA0101202211A0013978,교육법인대치,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85501,일반 교과학원,11,서울특별시,11530,구로구,11530730,고척2동,1153010600,고척동,1153010600101970001,1,대지,197.0,1.0,서울특별시 구로구 고척동 197-1,115304148463,서울특별시 구로구 중앙로15길,29.0,,1153010600101970001011680,,서울특별시 구로구 중앙로15길 29,152832.0,8241,,3,,126.858173647351,37.50634692648
MA010120220805512525,상동가설,,N1,시설관리·임대,N111,산업용품 대여,N11199,기타 산업용 기계/장비 대여업,N76390,기타 산업용 기계 및 장비 임대업,48,경상남도,48250,김해시,48250520,회현동,4825010200,서상동,4825010200102540005,1,대지,254.0,5.0,경상남도 김해시 서상동 254-5,482504805025,경상남도 김해시 가락로63번길,12.0,,4825010200102540005055291,,경상남도 김해시 가락로63번길 12,621030.0,50920,,,,128.880384907398,35.2321675523041
MA010120220809291150,황금당,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,47,경상북도,47730,의성군,47730430,안계면,4773043030,안계면,4773043030108510028,1,대지,851.0,28.0,경상북도 의성군 안계면 용기리 851-28,477304745320,경상북도 의성군 안계면 안계길,167.0,1.0,4773043030108510020009039,,경상북도 의성군 안계면 안계길 167-1,769933.0,37313,,,,128.43501902652,36.3861005266184
MA010120220812506313,아이비텔레콤,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,48,경상남도,48170,진주시,48170673,상대동,4817011900,상대동,4817011900101800024,1,대지,180.0,24.0,경상남도 진주시 상대동 180-24,481703332023,경상남도 진주시 모덕로,184.0,,4817011900101800024011266,,경상남도 진주시 모덕로 184,660803.0,52774,,1,,128.115472182056,35.1873060611373
MA010120220805582674,장수원,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,43,충청북도,43111,청주시 상당구,43111680,금천동,4311112000,금천동,4311112000102020004,1,대지,202.0,4.0,충청북도 청주시 상당구 금천동 202-4,431114508291,충청북도 청주시 상당구 산성로50번길,37.0,,4311112000102020004043023,,충청북도 청주시 상당구 산성로50번길 37,360803.0,28727,,1,,127.502681764231,36.6275562542798
MA0101202411A0042008,궁노래연습장,,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,52,전북특별자치도,52111,전주시 완산구,52111703,삼천3동,5211113700,삼천동1가,5211113700102840026,1,대지,284.0,26.0,전북특별자치도 전주시 완산구 삼천동1가 284-26,521113016010,전북특별자치도 전주시 완산구 강변로,74.0,,4511113700102840026023044,,전북특별자치도 전주시 완산구 강변로 74,560804.0,55086,,3,,127.110030770478,35.7981631539578
MA010120220808522341,인력지원,,N1,시설관리·임대,N104,고용 알선,N10401,고용 알선업,N75110,고용 알선업,11,서울특별시,11530,구로구,11530550,구로4동,1153010200,구로동,1153010200107470036,1,대지,747.0,36.0,서울특별시 구로구 구로동 747-36,115304148315,서울특별시 구로구 도림로3길,35.0,,1153010200107470044021529,청암빌라,서울특별시 구로구 도림로3길 35,152872.0,8320,,1,,126.887009313112,37.4868892644628
MA010120220800457456,위드안세무회계,,M1,과학·기술,M104,회계·세무,M10402,세무사,M71202,세무사업,41,경기도,41192,부천시 원미구,41192650,중3동,4119210800,중동,4119210800110620004,1,대지,1062.0,4.0,경기도 부천시 원미구 중동 1062-4,411923000065,경기도 부천시 원미구 길주로,307.0,,4119510800110620004037930,로얄프라자,경기도 부천시 원미구 길주로 307,420849.0,14534,,5,,126.776762096712,37.5035091053839
MA0101202410A0087038,김태종내과의원,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,41,경기도,41430,의왕시,41430520,부곡동,4143010300,삼동,4143010300101920056,1,대지,192.0,56.0,경기도 의왕시 삼동 192-56,414304403074,경기도 의왕시 부곡시장길,11.0,,4143010300101920056010301,,경기도 의왕시 부곡시장길 11,437814.0,16088,,,,126.950246691598,37.3199556451575
MA010120220809882747,쉬즈미스기흥점,롯데아울렛,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,41,경기도,41463,용인시 기흥구,41463540,기흥동,4146310800,고매동,4146310800108840000,1,대지,884.0,,경기도 용인시 기흥구 고매동 884,414633352016,경기도 용인시 기흥구 신고매로,124.0,,,롯데프리미엄아울렛기흥점,경기도 용인시 기흥구 신고매로 124,446901.0,17087,,1,,127.119629885402,37.22499905324
